id	nome	url short youtube	encurtada goo.gl	descricao	descrição curta	exibicao	reapresentacao	reprise
11	Cone(x)cidades: Conceição do Mato Dentro	https://youtu.be/WCGC-jkTMco	https://goo.gl/KLR81s	Mostramos um recorte da vida das mulheres que vivem em Conceição do Mato Dentro, na região central de Minas. No Biografia, a funcionária pública Marina Oliveira conta a história da mãe, Antônia Augusta. No Sarau tem música com o Coral da Terceira Idade, do projeto do Centro de Referência do Idoso, com a jovem Adrielle Moreira, a artista Denise Demiranda e a Dona Ana recitando a poesia “Na praça”!	Mostramos um recorte da vida das mulheres que vivem em Conceição do Mato Dentro, na região central de Minas. Biografia:  Marina Oliveira conta a história da mãe, Antônia Augusta. Sarau: Coral da Terceira Idade, Adrielle Moreira, Denise Demiranda e Dona Ana.	26/05/2016	29/05/2016	
12	cone(x)cidades: Indígenas Pataxós	https://youtu.be/0Z0AqrvHIhE	https://goo.gl/czHciV	Fomos a Aldeia Indígena Sede da etnia Pataxó, em Carmésia, a 200 km de BH, trazendo mulheres indígenas Pataxós. No Biografia, Jandaia Pataxó conta a história da mãe, Jitaí Pataxó, que vive na Aldeia Mãe. Lárica Pataxó mostra uma pintura, que representa a união espiritual com Deus para os Pataxós no Sarau, tem a brincadeira Equilíbrio do Bambu, lançamento de arco e flecha e música.	Fomos a Aldeia Indígena Sede da etnia Pataxó, em Carmésia, a 200 km de BH, trazendo mulheres indígenas Pataxós. Biografia: Jandaia Pataxó conta a história da mãe, Jitaí Pataxó. Sarau: Lárica Pataxó,  brincadeira Equilíbrio do Bambu, lançamento de arco e flecha e música.	02/06/2016	05/06/2016	27/10/2016
13	Cultura do Estupro	https://youtu.be/Fl8DgnKaJAY	https://goo.gl/mWUKF1	O Mulhere-se traz um tema que vem sendo bastante discutido: a cultura do estupro. No dia 1º de junho, mulheres de várias partes do país saíram às ruas para pedir o fim dessa cultura, que é uma das faces mais terríveis do machismo. No debate mulheres que participaram do ato “Todas por Elas”, Biografia da assistente social Gilse consenza. As musicas do Sarau de Verilucy Pinheiro e poesia Laura Colpa.	O Mulhere-se traz um tema que vem sendo bastante discutido: a cultura do estupro. No dia 1º de junho, mulheres de várias partes do país saíram às ruas para pedir o fim dessa cultura, que é uma das faces mais terríveis do machismo. Biografia: Gilse consenza.  Sarau: Verilucy Pinheiro e Laura Colpa.	09/06/2016	12/06/2016	
14	Mulheres de Mariana	https://youtu.be/t_3zr-BbSps	https://goo.gl/1VvZEd	O mulhere-se traz as mulheres atingidas pelo rompimento da barragem em Mariana. A biografia de Marta Caetano, no Sarau poesias de Maria do Carmo e Alice Silva.	O mulhere-se traz as mulheres atingidas pelo rompimento da barragem em Mariana. A biografia de Marta Caetano, no Sarau poesias de Maria do Carmo e Alice Silva.	16/06/2016	19/06/2016	03/11/2016
15	Sagrado Feminino	https://youtu.be/Q8sxnRWQ4t8	https://goo.gl/5tFQeB	As mulheres ligadas ao Sagrado Feminino explicam o que significa o sagrado e suas ideias . No Sarau tem performance com a artista Mary Astrus e poesia com Raquel Anwar e a escritora Helena Ferreira. E ainda tem a jovem Maria Laura contando a história de sua avó e a relação delas com o sagrado feminino, no quadro Biografia.	As mulheres ligadas ao Sagrado Feminino explicam o que significa o sagrado e suas ideias .  Sarau: Mary Astrus, Raquel Anwar e Helena Ferreira. Biografia: Maria Laura contando a história de sua avó. 	23/06/2016	26/06/2016	10/11/2016
16	Cone(x)cidades Mulheres Circenses	https://youtu.be/EyxLTZrApr4	https://goo.gl/lf4eWO	Para mostrar um pouco a realidade de mulheres circenses. Fomos até dois circos: o Mirage Circus e o Atiare's Cirkus, montados em Belo Horizonte. No Biografia, a coreógrafa Cristina Sbano, de uma tradicional família de artistas circenses. No quadro sarau tem muita apresentação circense. A malabarista e acrobata Amanda Jardim e da bailarina Jeniffer Rakmer .	Para mostrar um pouco a realidade de mulheres circenses. Fomos até dois circos: o Mirage Circus e o Atiare's Cirkus, montados em Belo Horizonte. No Biografia, a coreógrafa Cristina Sbano, de uma tradicional família de artistas circenses. No quadro sarau tem muita apresentação circense. A malabarista e acrobata Amanda Jardim e da bailarina Jeniffer Rakmer .	30/06/2016	03/07/2016	17/11/2016
17	Marcha das Vadias	https://youtu.be/LLtDe86OEIU	https://goo.gl/q8NBGd	Diversas mulheres saíram às ruas para participar da Marcha das Vadias, ato que acontece todos os anos em várias partes do mundo. No Sarau, tem as meninas dos Bloco Bruta Flor e Tambores de Luta. A Biografia é contada por Letícia, uma das organizadoras do evento, que conta a história de Cristal Lopez, mulher trans e militante de BH.		07/07/2016	10/07/2016	
18	Literatura – Produção Colaborativa	https://youtu.be/lBdhobKhUMo	https://goo.gl/aaKddk	Abordamos a experiência de uma produção literária feminina. No Sarau tem as prosas poéticas que compõem o livro, narradas por Rafaela Fernandes e Patrícia Corrêa - Pat Manoese. O quadro Biografia apresenta a história de Safo, poetisa da Grécia Antiga e figura feminina de grande importância.		14/07/2016	17/07/2016	24/11/2016
19	Uma por Minuto	https://youtu.be/HIatBG3SNhs	https://goo.gl/Ddt0dD	Diversas mulheres saíram às ruas de BH para participar do manifesto "UMA POR MINUTO - Pelo Fim da Cultura do Estupro". No Sarau, temos fortes poesias de Karine Bassi. A Biografia é contada por Isis Medeiros, que fala sobre Alexandra Kollontai, líder revolucionária russa e feminista, além de uma importante teórica do marxismo.		21/07/2016	24/07/2016	
20	Diversidades	https://youtu.be/BNNWkAkd7Og	https://goo.gl/2Y7xYa	Conversamos com mulheres lésbicas e transexuais,sobre suas perspectivas, identidades, avanços e retrocessos políticos.No Sarau temos performance com as artistas Ana Luisa Santos e Fernanda Branco Polse, música com Aline Alkmim e Janaina Assis. No Biografia temos a pesquisadora Liliane Anderson contando sua trajetória e descoberta como militante e o desafio de ampliar sua luta dentro da sociedade.		28/07/2016	31/07/2016	01/12/2016
21	Cone(x)cidades - Latinidades	https://youtu.be/oREVn6W0f9g	https://goo.gl/h9EGvw	Mulheres de diferentes nacionalidades falam sobre representação, reforma política, cultura, ancestralidade e luta! No Sarau tem música com a cubana Teresa Morales e a brasileira Bia Nogueira. No quadro Biografia tem a colombiana e quilombola Carmenza Bambazú Luna Espectral, que iniciou sua atuação feminista através do Hip Hop e criou o método de dança como terapia Bambazú. Ao contar sua trajetória, ela diz sobre a situação política, social e histórica da humanidade em relação à população negra. 04/08/2016		04/08/2016	07/08/2016	08/12/2016
22	Representação Feminina nos Quadrinhos	https://youtu.be/NCaYmHp_5HA	https://goo.gl/LTcTeW	Um universo que durante muito tempo parece ter destacado apenas os homens, e brancos, e heterossexuais, vem recebendo muitas mulheres: o universo dos quadrinhos. No conversações estão artistas do Zinas, coletivo formado por oito mulheres.. No sarau tem as produções do Zinas e no quadro Biografia, a quadrinista Ana Carolinha Cunha e a pesquisadora Dani Marino, falam sobre a super-heroína dos quadrinhos, a Mulher Maravilha.		11/08/2016	14/08/2016	15/12/2016
23	Mulheres Quilombolas	https://youtu.be/mpSq55SuKhE	https://goo.gl/Aj9UN6	Remontagem do documentário Dandaras: a força da mulher quilombola, produzido pelas antropólogas Ana Carolina Fernandes e Amaralina Fernandes, que percorreram vários quilombos em Minas Gerais para mostrar a força e sabedoria das mulheres quilombolas. No sarau tem apresentação de dança do Quilombo Arturos e música com Maria Aparecida. No Biografia, tem a história da Dona Tiana, do quilombo Carra patos da Tabatinga.		18/08/2016	21/08/2016	
24	Espaços Públicos	https://youtu.be/bDn2BzDqtF0	https://goo.gl/9ijiD0	Nesta quinta o Mulhere-se traz numa edição especialíssima a Crew Minas de Minas, formada pelas graffiteiras de Belo Horizonte Krol (Carolina Jaued), Musa (Louise Líbero), Nica (Nayara Gessyca) e Viber (Lidia Soares). No bate papo elas falam sobre graffiti, espaços públicos, poderes, família e muito mais! No quadro ‪#‎Biografia ‬temos a história do coletivo NINFEIAS, que tem por objetivo o estudo de teorias e práticas feministas performativas.		25/08/2016	28/08/2016	22/12/2016
25	Comprometimento e Resistência	https://www.youtube.com/watch?v=_P0Wux6XeI4	https://goo.gl/402XIU	No quadro Conversações Eliane Dias, advogada, coordenadora do SOS Racismo da ALESP e produtora dos Racionais MC's coloca seu olhar em torno de várias questões. No quadro Sarau temos muito ritmo e poesia com Kainná Tawá cantando “Manchete”, Ohana Santana com “Que Assim Seja” e Tamara Franklin com “Vem e Vê”! No quadro Biografia temos a história da Nina Simone, contada por Silvânia Morais, professora e militante da Frente de Mulheres das Brigadas Populares.		01/09/2016	04/09/2016	29/12/2016
26	Matriarcado - As Filhas da Mãe	https://www.youtube.com/watch?v=bDn2BzDqtF0	https://goo.gl/rtJZml	No quadro Conversações temos Ágatha Flora, Rita Silva, Cida De Amarale Solícita Rodrigues falando sobre o poder transformador do trabalho, da alegria, da palavra! O grupo Filhas da Mãe compõe o quadro Sarau,compreendendo a alegria e a diversão como sabedorias, aspectos fundamentais e transformadores da vida pelo contato com o imaginário através da arte e do samba. No quadro Biografia temos a sabedoria e força de Dona Solícita Rodrigues, contada por sua filha Rita Silva.		08/09/2016	11/09/2016	05/01/2016
